text,platform,language_mix,quality_score,is_high_quality,rationale
"90% of early-stage SaaS founders in India make this pricing mistake:

They convert their USD prices directly to INR.

$29/mo becomes ₹2,400/mo. To a Mumbai or Bangalore startup, ₹2,400 is an approval committee. ₹499 is an impulse buy on UPI.

Here are 3 rules we used to 4x conversion:
1. Anchor against local software (Tally, Zoho), not Silicon Valley tools.
2. Enable UPI AutoPay before offering credit cards.
3. Offer single-seat starter tiers under ₹999.

What is your biggest pricing hurdle in India? Let me know in the comments.",linkedin_post,en,5,1,"High-impact hook with concrete stat, actionable 3-point framework, local Indian context, clear comment CTA."
"Nobody talks about the loneliness of being a solo content creator.

You spend 14 hours editing a video, hit publish, and get 42 views.

Last year, I almost quit after 6 months of zero momentum. Here is what kept me going:
- Shifted focus from viral hits to building 10 loyal DMs a week.
- Stopped obsessing over metrics and started tracking output consistency.
- Found 3 creator accountability buddies in Pune.

If you are feeling stuck today: keep building. Your breakthrough is closer than you think.

Save this post for the days you feel like giving up.",linkedin_post,en,5,1,"Vulnerable storytelling, relatable creator journey, structured takeaways, strong save CTA."
"Stop using ChatGPT to write generic LinkedIn posts. Here is the exact prompt framework I use to get 50k+ impressions:

Most people prompt: 'Write a post about productivity.'
Result: Corporate buzzwords nobody reads.

Instead, use the P-A-S-E Formula:
• Problem: Specific pain point (e.g., losing 2 hours to Slack)
• Agitation: Quantify the cost (₹50,000 lost billable hours)
• Solution: 1 counter-intuitive framework
• Engagement: 1 open-ended debate question

Repost this if you want your team to stop writing boring posts ♻️",linkedin_post,en,5,1,"Contrarian hook, actionable framework with concrete contrast, repost trigger."
"Bhai, Indian creators ke liye consistency is NOT about posting daily.

It is about building a sustainable system:
1. Batch record 4 reels in 2 hours on Sunday.
2. Repurpose 1 YouTube video into 5 tweets, 1 LinkedIn post, and a WhatsApp broadcast.
3. Schedule everything in advance.

Matlab 1 ghanta per day spend karke bhi full-time reach mil sakti hai.

Kya aapka content system ready hai? Drop a comment below!",linkedin_post,hinglish,5,1,"Authentic Hinglish tone, relatable creator pain point, practical bulleted advice, clear comment CTA."
"Content creation is very important for modern businesses. In today's digital era, everyone needs to build a personal brand. You should post regularly on LinkedIn and Twitter to increase your network and get more leads. Share your thoughts daily.",linkedin_post,en,3,0,"Generic cliches ('In today's digital era'), no hook, no specific proof or actionable steps, weak ending."
Excited to share that our team had an amazing brainstorming session today! We discussed innovative marketing strategies and synergy across departments. Great things are coming soon. Stay tuned!,linkedin_post,en,2,0,"Classic corporate update, zero value for reader, buzzwords ('synergy', 'innovative'), no hook or CTA."
"In the fast-paced ecosystem of contemporary business, leveraging holistic paradigms is essential to unlock transformative growth and foster seamless cross-functional synergies. Leaders must pivot seamlessly to stay ahead of the curve. #Leadership #BusinessGrowth #Synergy",linkedin_post,en,1,0,"Severe corporate buzzword pollution, unintelligible jargon, no human voice, zero value."
"[HOOK - 0-3s]: [Point at screen with text: STOP DOING THIS] If you are still posting reels without this 3-second hook, you are wasting your time.

[PROBLEM - 3-10s]: Look at your insights. 80% of viewers drop off before 4 seconds because you start with 'Hey guys, today I will talk about...'

[SOLUTION - 10-22s]: Instead, open with a high-stakes question or a number. Example: 'How this D2C founder scaled to ₹10 Lakhs without ads.'

[CTA - 22-30s]: Save this reel and rewrite your next 3 video hooks today!",reel_script,en,5,1,"Clear timestamped visual + verbal hook, specific drop-off metric, concrete example, strong save CTA."
"[HOOK - 0-3s]: [Show phone screen with 0 views] Yeh ek galti aapke saare reels freeze kar rahi hai.

[PROBLEM - 3-10s]: Aap caption mein 30 irrelevant hashtags daal rahe ho jo algorithm ko confuse karte hain.

[SOLUTION - 10-20s]: Sirf 3-5 niche specific tags use karo, aur hook ko first frame pe text overlay banao.

[CTA - 20-30s]: Share this with a creator friend jisko reach chahiye! 🚀",reel_script,hinglish,5,1,"Punchy visual hook, authentic Hinglish dialogue, fast actionable fix, clear share CTA."
"[HOOK - 0-3s]: [Holding cup of chai] 3 AI tools that will save you 10 hours every week in 2026.

[BODY - 3-20s]: 
1. Ruom AI for 1-click multi-format repurposing.
2. OpusClip for instant vertical short cutouts.
3. ElevenLabs for studio-grade Hindi voiceovers.

[CTA - 20-30s]: Comment 'AI' below and I will DM you the direct links to all three!",reel_script,en,5,1,"High-curiosity hook with numbers, concise 3-tool list, high-converting keyword DM CTA."
Hello everyone! Welcome to my reel. Today I want to discuss why marketing is essential for everyone. Marketing helps you reach people and sell things. Always believe in your dreams and work hard every day. Thank you for watching.,reel_script,en,1,0,"Terrible opener ('Hello everyone'), no timestamps, no visual cues, generic platitudes, no real CTA."
"1/5 Most people think building an audience takes 2 years. I went from 0 to 45,000 followers in 9 months without paying for ads.

Here is the exact 4-step blueprint 🧵👇

2/5 Step 1: Pick 1 core problem. Don't tweet about crypto on Monday and fitness on Tuesday. Be the go-to person for ONE painful topic.

3/5 Step 2: The 'Quote & Expand' method. Find top 10 creators in your niche. When they post, reply within 10 minutes with a detailed breakdown.

4/5 Step 3: Turn your top 5 tweets into a long-form LinkedIn post and an Instagram reel script.

5/5 That's the system. If you found this valuable:
1. Follow @creator for more growth breakdowns.
2. Retweet tweet #1 to help other creators grow.",tweet_thread,en,5,1,"High curiosity opening with timeline numbers, clean numbered thread structure, crisp advice, standard retweet/follow CTA."
